




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (5892)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
oxidative phosphorylation (GO:0006119)	120	71	34.33	+	2.07	2.81E-06	1.26E-04
tRNA modification (GO:0006400)	93	55	26.61	+	2.07	3.90E-05	1.43E-03
RNA methylation (GO:0001510)	88	52	25.18	+	2.07	5.95E-05	2.14E-03
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	34	16.59	+	2.05	1.48E-03	3.53E-02
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	70	41	20.03	+	2.05	5.11E-04	1.45E-02
positive regulation of viral process (GO:0048524)	89	52	25.46	+	2.04	9.36E-05	3.22E-03
mRNA metabolic process (GO:0016071)	697	407	199.40	+	2.04	2.01E-29	7.93E-27
RNA processing (GO:0006396)	930	542	266.06	+	2.04	5.61E-39	3.17E-36
respiratory electron transport chain (GO:0022904)	112	65	32.04	+	2.03	1.11E-05	4.48E-04
protein methylation (GO:0006479)	131	76	37.48	+	2.03	2.06E-06	9.51E-05
protein alkylation (GO:0008213)	131	76	37.48	+	2.03	2.06E-06	9.48E-05
cell aging (GO:0007569)	76	44	21.74	+	2.02	3.66E-04	1.10E-02
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	41	20.31	+	2.02	5.55E-04	1.54E-02
histone lysine methylation (GO:0034968)	71	41	20.31	+	2.02	5.55E-04	1.54E-02
RNA splicing (GO:0008380)	409	236	117.01	+	2.02	7.30E-17	1.10E-14
NADH dehydrogenase complex assembly (GO:0010257)	66	38	18.88	+	2.01	8.55E-04	2.20E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	38	18.88	+	2.01	8.55E-04	2.19E-02
establishment of protein localization to mitochondrion (GO:0072655)	77	44	22.03	+	2.00	4.00E-04	1.18E-02
positive regulation of mRNA catabolic process (GO:0061014)	105	60	30.04	+	2.00	4.42E-05	1.61E-03
mitotic sister chromatid segregation (GO:0000070)	121	69	34.62	+	1.99	9.77E-06	4.01E-04
mRNA processing (GO:0006397)	486	277	139.04	+	1.99	4.07E-19	7.22E-17
regulation of hematopoietic stem cell differentiation (GO:1902036)	74	42	21.17	+	1.98	6.87E-04	1.83E-02
ubiquitin-dependent ERAD pathway (GO:0030433)	76	43	21.74	+	1.98	5.47E-04	1.53E-02
protein localization to mitochondrion (GO:0070585)	85	48	24.32	+	1.97	3.26E-04	9.94E-03
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	44	22.31	+	1.97	6.26E-04	1.70E-02
RNA modification (GO:0009451)	172	97	49.21	+	1.97	2.74E-07	1.51E-05
sister chromatid segregation (GO:0000819)	149	84	42.63	+	1.97	1.60E-06	7.66E-05
protein targeting (GO:0006605)	322	181	92.12	+	1.96	1.69E-12	1.66E-10
nuclear membrane organization (GO:0071763)	73	41	20.88	+	1.96	9.37E-04	2.38E-02
mitotic nuclear division (GO:0140014)	201	112	57.50	+	1.95	4.81E-08	2.89E-06
regulation of mRNA processing (GO:0050684)	140	78	40.05	+	1.95	5.50E-06	2.37E-04
amide biosynthetic process (GO:0043604)	537	299	153.63	+	1.95	1.45E-19	2.74E-17
regulation of gene silencing by RNA (GO:0060966)	97	54	27.75	+	1.95	1.64E-04	5.34E-03
aerobic respiration (GO:0009060)	160	89	45.77	+	1.94	1.12E-06	5.50E-05
nuclear transport (GO:0051169)	264	146	75.53	+	1.93	5.00E-10	3.93E-08
protein-containing complex disassembly (GO:0032984)	228	126	65.23	+	1.93	1.07E-08	7.05E-07
regulation of posttranscriptional gene silencing (GO:0060147)	96	53	27.46	+	1.93	2.22E-04	7.06E-03
protein localization to chromosome (GO:0034502)	69	38	19.74	+	1.93	1.57E-03	3.69E-02
histone methylation (GO:0016571)	91	50	26.03	+	1.92	3.37E-04	1.03E-02
regulation of translation (GO:0006417)	415	228	118.73	+	1.92	1.26E-14	1.48E-12
regulation of mRNA splicing, via spliceosome (GO:0048024)	102	56	29.18	+	1.92	1.58E-04	5.16E-03
negative regulation of protein ubiquitination (GO:0031397)	82	45	23.46	+	1.92	8.09E-04	2.10E-02
nucleocytoplasmic transport (GO:0006913)	261	143	74.67	+	1.92	1.20E-09	9.07E-08
regulation of signal transduction by p53 class mediator (GO:1901796)	201	110	57.50	+	1.91	1.41E-07	7.97E-06
RNA localization (GO:0006403)	212	116	60.65	+	1.91	4.83E-08	2.89E-06
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	41	21.46	+	1.91	1.55E-03	3.65E-02
establishment of protein localization to membrane (GO:0090150)	313	171	89.55	+	1.91	3.49E-11	3.08E-09
signal transduction by p53 class mediator (GO:0072331)	119	65	34.04	+	1.91	5.31E-05	1.92E-03
establishment of protein localization to organelle (GO:0072594)	394	215	112.72	+	1.91	1.20E-13	1.31E-11
regulation of protein acetylation (GO:1901983)	77	42	22.03	+	1.91	1.22E-03	2.97E-02
centrosome cycle (GO:0007098)	88	48	25.18	+	1.91	5.70E-04	1.58E-02
DNA-templated transcription, elongation (GO:0006354)	79	43	22.60	+	1.90	9.80E-04	2.46E-02
positive regulation of mRNA metabolic process (GO:1903313)	136	74	38.91	+	1.90	1.79E-05	6.95E-04
negative regulation of translation (GO:0017148)	184	100	52.64	+	1.90	5.84E-07	3.01E-05
regulation of translational initiation (GO:0006446)	81	44	23.17	+	1.90	1.09E-03	2.72E-02
regulation of telomere maintenance (GO:0032204)	81	44	23.17	+	1.90	1.09E-03	2.72E-02
regulation of gene silencing (GO:0060968)	116	63	33.19	+	1.90	9.02E-05	3.13E-03
regulation of gene silencing by miRNA (GO:0060964)	94	51	26.89	+	1.90	4.03E-04	1.19E-02
peptide metabolic process (GO:0006518)	544	295	155.63	+	1.90	5.33E-18	8.69E-16
peptidyl-lysine modification (GO:0018205)	305	165	87.26	+	1.89	1.73E-10	1.44E-08
macromolecule methylation (GO:0043414)	257	139	73.52	+	1.89	3.84E-09	2.69E-07
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	73	38.62	+	1.89	2.39E-05	9.18E-04
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	60	31.76	+	1.89	1.34E-04	4.45E-03
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	47	24.89	+	1.89	7.67E-04	2.02E-02
positive regulation of translation (GO:0045727)	137	74	39.19	+	1.89	1.93E-05	7.46E-04
microtubule organizing center organization (GO:0031023)	100	54	28.61	+	1.89	2.86E-04	8.83E-03
nucleotide-excision repair (GO:0006289)	104	56	29.75	+	1.88	2.54E-04	7.99E-03
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	91	49	26.03	+	1.88	5.00E-04	1.42E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	182	96.70	+	1.88	1.93E-11	1.76E-09
RNA metabolic process (GO:0016070)	1582	851	452.59	+	1.88	2.11E-51	2.23E-48
peptidyl-lysine acetylation (GO:0018394)	119	64	34.04	+	1.88	7.71E-05	2.70E-03
histone acetylation (GO:0016573)	110	59	31.47	+	1.87	1.80E-04	5.80E-03
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	60	32.04	+	1.87	1.44E-04	4.74E-03
cellular respiration (GO:0045333)	187	100	53.50	+	1.87	9.86E-07	4.93E-05
regulation of stem cell differentiation (GO:2000736)	116	62	33.19	+	1.87	1.27E-04	4.25E-03
regulation of RNA splicing (GO:0043484)	150	80	42.91	+	1.86	1.43E-05	5.70E-04
retrograde transport, endosome to Golgi (GO:0042147)	90	48	25.75	+	1.86	6.71E-04	1.80E-02
ERAD pathway (GO:0036503)	92	49	26.32	+	1.86	7.24E-04	1.92E-02
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	50	26.89	+	1.86	5.83E-04	1.60E-02
regulation of cellular response to heat (GO:1900034)	79	42	22.60	+	1.86	1.96E-03	4.49E-02
mRNA transport (GO:0051028)	160	85	45.77	+	1.86	9.05E-06	3.74E-04
negative regulation of cell cycle G1/S phase transition (GO:1902807)	115	61	32.90	+	1.85	1.70E-04	5.49E-03
posttranscriptional regulation of gene expression (GO:0010608)	581	308	166.22	+	1.85	7.82E-18	1.25E-15
regulation of proteasomal protein catabolic process (GO:0061136)	187	99	53.50	+	1.85	1.43E-06	6.93E-05
nucleobase-containing compound catabolic process (GO:0034655)	373	197	106.71	+	1.85	1.21E-11	1.13E-09
mitotic spindle organization (GO:0007052)	163	86	46.63	+	1.84	7.85E-06	3.31E-04
positive regulation of chromosome organization (GO:2001252)	182	96	52.07	+	1.84	2.86E-06	1.28E-04
cell cycle checkpoint signaling (GO:0000075)	188	99	53.78	+	1.84	2.03E-06	9.44E-05
proteasomal protein catabolic process (GO:0010498)	361	190	103.28	+	1.84	3.38E-11	3.00E-09
internal peptidyl-lysine acetylation (GO:0018393)	116	61	33.19	+	1.84	1.83E-04	5.88E-03
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	62	33.76	+	1.84	2.00E-04	6.38E-03
cellular macromolecule catabolic process (GO:0044265)	925	486	264.63	+	1.84	4.21E-27	1.39E-24
telomere maintenance (GO:0000723)	99	52	28.32	+	1.84	5.53E-04	1.54E-02
telomere organization (GO:0032200)	103	54	29.47	+	1.83	4.82E-04	1.38E-02
nucleic acid metabolic process (GO:0090304)	2217	1162	634.26	+	1.83	1.10E-67	1.94E-64
regulation of mRNA metabolic process (GO:1903311)	376	197	107.57	+	1.83	1.98E-11	1.80E-09
nuclear envelope organization (GO:0006998)	84	44	24.03	+	1.83	1.83E-03	4.25E-02
establishment of RNA localization (GO:0051236)	191	100	54.64	+	1.83	2.38E-06	1.08E-04
positive regulation of response to DNA damage stimulus (GO:2001022)	109	57	31.18	+	1.83	3.41E-04	1.04E-02
viral process (GO:0016032)	444	232	127.02	+	1.83	3.53E-13	3.69E-11
mitotic cell cycle checkpoint signaling (GO:0007093)	159	83	45.49	+	1.82	1.68E-05	6.57E-04
protein-containing complex localization (GO:0031503)	259	135	74.10	+	1.82	4.32E-08	2.64E-06
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	125	68.66	+	1.82	1.19E-07	6.82E-06
DNA integrity checkpoint signaling (GO:0031570)	150	78	42.91	+	1.82	3.91E-05	1.43E-03
regulation of TOR signaling (GO:0032006)	100	52	28.61	+	1.82	7.98E-04	2.08E-02
regulation of cellular amide metabolic process (GO:0034248)	479	249	137.04	+	1.82	7.90E-14	8.79E-12
nucleic acid-templated transcription (GO:0097659)	531	276	151.91	+	1.82	3.10E-15	4.05E-13
negative regulation of cellular amide metabolic process (GO:0034249)	206	107	58.93	+	1.82	1.40E-06	6.82E-05
nucleosome organization (GO:0034728)	156	81	44.63	+	1.81	2.76E-05	1.03E-03
mitochondrion organization (GO:0007005)	468	243	133.89	+	1.81	1.67E-13	1.81E-11
transcription, DNA-templated (GO:0006351)	530	275	151.63	+	1.81	4.08E-15	5.28E-13
regulation of mRNA stability (GO:0043488)	241	125	68.95	+	1.81	1.68E-07	9.47E-06
RNA transport (GO:0050658)	189	98	54.07	+	1.81	4.13E-06	1.81E-04
nucleic acid transport (GO:0050657)	189	98	54.07	+	1.81	4.13E-06	1.80E-04
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	86	47.49	+	1.81	1.73E-05	6.74E-04
DNA repair (GO:0006281)	531	275	151.91	+	1.81	4.39E-15	5.64E-13
regulation of RNA stability (GO:0043487)	253	131	72.38	+	1.81	8.48E-08	5.00E-06
RNA biosynthetic process (GO:0032774)	543	281	155.35	+	1.81	2.93E-15	3.86E-13
internal protein amino acid acetylation (GO:0006475)	118	61	33.76	+	1.81	2.80E-04	8.69E-03
regulation of mRNA catabolic process (GO:0061013)	252	130	72.09	+	1.80	1.11E-07	6.44E-06
double-strand break repair via homologous recombination (GO:0000724)	101	52	28.89	+	1.80	8.47E-04	2.18E-02
double-strand break repair (GO:0006302)	204	105	58.36	+	1.80	2.40E-06	1.09E-04
protein acetylation (GO:0006473)	138	71	39.48	+	1.80	1.08E-04	3.67E-03
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	114	63.51	+	1.79	8.53E-07	4.31E-05
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	80	44.63	+	1.79	3.84E-05	1.42E-03
mitotic DNA damage checkpoint signaling (GO:0044773)	119	61	34.04	+	1.79	3.02E-04	9.31E-03
mitotic DNA integrity checkpoint signaling (GO:0044774)	123	63	35.19	+	1.79	2.62E-04	8.17E-03
RNA phosphodiester bond hydrolysis (GO:0090501)	164	84	46.92	+	1.79	2.98E-05	1.11E-03
methylation (GO:0032259)	313	160	89.55	+	1.79	7.01E-09	4.74E-07
regulation of macroautophagy (GO:0016241)	161	82	46.06	+	1.78	3.58E-05	1.33E-03
DNA replication (GO:0006260)	273	139	78.10	+	1.78	8.59E-08	5.03E-06
signal transduction in response to DNA damage (GO:0042770)	167	85	47.78	+	1.78	2.55E-05	9.73E-04
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	153	86.11	+	1.78	1.90E-08	1.21E-06
regulation of DNA repair (GO:0006282)	130	66	37.19	+	1.77	2.64E-04	8.23E-03
macroautophagy (GO:0016236)	199	101	56.93	+	1.77	4.95E-06	2.14E-04
DNA damage checkpoint signaling (GO:0000077)	142	72	40.62	+	1.77	1.31E-04	4.36E-03
regulation of mitotic cell cycle phase transition (GO:1901990)	434	220	124.16	+	1.77	1.37E-11	1.27E-09
negative regulation of cell cycle phase transition (GO:1901988)	294	149	84.11	+	1.77	3.50E-08	2.18E-06
protein-DNA complex subunit organization (GO:0071824)	296	150	84.68	+	1.77	2.82E-08	1.77E-06
protein localization to organelle (GO:0033365)	742	376	212.28	+	1.77	4.64E-19	8.15E-17
ubiquitin-dependent protein catabolic process (GO:0006511)	545	276	155.92	+	1.77	3.03E-14	3.42E-12
modification-dependent macromolecule catabolic process (GO:0043632)	563	285	161.07	+	1.77	1.41E-14	1.64E-12
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	124	70.09	+	1.77	5.25E-07	2.73E-05
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	93	52.64	+	1.77	1.58E-05	6.27E-04
recombinational repair (GO:0000725)	103	52	29.47	+	1.76	1.28E-03	3.12E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	58	32.90	+	1.76	6.38E-04	1.73E-02
modification-dependent protein catabolic process (GO:0019941)	552	278	157.92	+	1.76	4.12E-14	4.62E-12
transcription by RNA polymerase II (GO:0006366)	382	192	109.29	+	1.76	4.65E-10	3.67E-08
cellular macromolecule biosynthetic process (GO:0034645)	1639	822	468.90	+	1.75	7.94E-41	5.02E-38
mitochondrial membrane organization (GO:0007006)	146	73	41.77	+	1.75	1.59E-04	5.17E-03
spindle organization (GO:0007051)	224	112	64.08	+	1.75	2.46E-06	1.11E-04
regulation of chromosome organization (GO:0033044)	290	145	82.97	+	1.75	9.96E-08	5.79E-06
DNA geometric change (GO:0032392)	110	55	31.47	+	1.75	9.67E-04	2.44E-02
positive regulation of cellular amide metabolic process (GO:0034250)	168	84	48.06	+	1.75	4.93E-05	1.79E-03
chromatin assembly or disassembly (GO:0006333)	170	85	48.64	+	1.75	4.06E-05	1.48E-03
negative regulation of cell cycle process (GO:0010948)	368	184	105.28	+	1.75	1.54E-09	1.13E-07
cellular response to DNA damage stimulus (GO:0006974)	793	396	226.87	+	1.75	3.64E-19	6.61E-17
autophagy (GO:0006914)	309	154	88.40	+	1.74	3.80E-08	2.34E-06
process utilizing autophagic mechanism (GO:0061919)	309	154	88.40	+	1.74	3.80E-08	2.33E-06
gene expression (GO:0010467)	2117	1055	605.65	+	1.74	1.84E-52	2.08E-49
macromolecule catabolic process (GO:0009057)	1058	527	302.68	+	1.74	2.99E-25	8.93E-23
intracellular protein transport (GO:0006886)	781	389	223.44	+	1.74	1.01E-18	1.75E-16
nuclear chromosome segregation (GO:0098813)	227	113	64.94	+	1.74	2.76E-06	1.24E-04
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	303	174.23	+	1.74	9.22E-15	1.10E-12
negative regulation of mitotic cell cycle (GO:0045930)	294	146	84.11	+	1.74	1.18E-07	6.80E-06
mitotic cell cycle (GO:0000278)	750	372	214.57	+	1.73	1.05E-17	1.65E-15
cellular protein-containing complex assembly (GO:0034622)	867	430	248.04	+	1.73	2.50E-20	5.00E-18
cellular protein catabolic process (GO:0044257)	644	319	184.24	+	1.73	2.67E-15	3.55E-13
mitotic cell cycle process (GO:1903047)	675	334	193.11	+	1.73	6.47E-16	8.97E-14
endosomal transport (GO:0016197)	235	116	67.23	+	1.73	2.87E-06	1.28E-04
protein folding (GO:0006457)	233	115	66.66	+	1.73	3.52E-06	1.56E-04
macromolecule biosynthetic process (GO:0009059)	1680	829	480.63	+	1.72	3.08E-39	1.80E-36
response to ionizing radiation (GO:0010212)	148	73	42.34	+	1.72	2.34E-04	7.39E-03
covalent chromatin modification (GO:0016569)	367	181	104.99	+	1.72	4.88E-09	3.35E-07
histone modification (GO:0016570)	363	179	103.85	+	1.72	5.61E-09	3.82E-07
regulation of protein ubiquitination (GO:0031396)	213	105	60.94	+	1.72	9.14E-06	3.77E-04
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	66	38.34	+	1.72	4.36E-04	1.27E-02
DNA-dependent DNA replication (GO:0006261)	195	96	55.79	+	1.72	2.56E-05	9.74E-04
protein-DNA complex assembly (GO:0065004)	256	126	73.24	+	1.72	1.16E-06	5.71E-05
